filename,C1_bigram_and_trigram_frequency,C2_word_acquisition_properties,C3_content_word_frequency,C4_trigram_mutual_information,C5_bigram_frequency_and_range,C6_function_word_properties,C7_content_word_properties,C8_bigram_mutual_information,C9_function_word_frequency_and_range,C10_bigram_and_trigram_association_strength,C11_academic_language,C12_hypernymy
LOCNEC_22_P1.txt,5.53234648824,-0.598576451726,7.9109732215,-0.295426517603,0.281093202766,1.31225620541,-2.73429142759,-1.07097569194,0.335530566763,-2.39247875519,0.898612122306,-1.13468200495
LOCNEC_53_P1.txt,9.8747606898,5.55844251115,10.8803018243,1.30751755438,2.94904882519,-1.08136581464,-2.04728545121,2.43737376519,-0.765894361532,-1.90404596458,-1.01563420241,-3.13248666785
LOCNEC_2_P1.txt,-2.71320648677,-5.21678356706,-9.96070817582,-2.26231717938,9.00830570673,-7.87518523761,5.02501807476,0.834242703022,6.13240705691,8.43152610076,-1.48720986297,0.063772745382
LOCNEC_30_P1.txt,2.542074898,-0.170257313113,4.46801884326,-0.773805862714,1.54922312085,-2.02514248522,-2.0634565699,-0.0514335628893,1.80245067466,-0.291075697343,0.107221506359,-1.0764687959
CAOS-E C2_eMc_P1.txt,-18.2752777822,-6.65226696905,-3.46354006201,7.47300881748,9.42143232813,-4.14571015216,1.38081350228,-4.57208491158,4.40179817201,3.32653642196,1.41417033897,4.66904146038
LOCNEC_18_P1.txt,12.762022441,4.42944574822,7.46089893989,0.50439114687,3.06001283442,1.39027663117,-1.08639368967,2.00004830827,1.18016353897,-2.13561108084,-0.662396187894,-2.08788382634
CAOS-E C2_ln_P1.txt,-5.64431388485,-1.5985040697,-3.77151163288,-5.85581128784,5.9539925565,-1.46047180647,4.50770551809,0.0541984940494,5.0759111321,-1.18355376549,-2.98092816111,0.0174070076507
CAOS-E C2_ykm_P2.txt,-10.484369698,0.394413187596,0.696551396447,1.33705348494,-1.74253351152,0.761118567675,-0.98351535483,2.38958512496,1.50339088564,-0.314863292168,-2.2914934309,-0.902389819091
LOCNEC_14_P1.txt,2.88432943076,3.6009066894,3.67097476869,2.87485234083,3.1229541712,-1.61393077551,-0.163979152415,1.38548390132,-0.894974927243,1.57437630245,-0.90534873628,-1.85762477425
LOCNEC_41_P2.txt,-2.15966705948,1.99154550443,-1.35200767647,-0.829497394649,-4.15287830849,3.37001234684,0.221003091865,-1.32942363783,0.400787991749,-0.574717795407,-1.46693052113,-1.46009116314
LOCNEC_14_P3.txt,5.97732769959,3.34979812266,-9.26397173091,9.83621418507,-3.41695385509,-4.39428436703,-2.06949537669,-0.425307385989,0.453994373452,1.45857596825,2.3617961012,-0.0463430915034
CAOS-E C2_ln_P3.txt,-7.29909526772,5.00707119143,-3.99743654767,-5.07134680842,-10.392463284,7.27532205294,4.49137009596,1.40904272021,-4.79202756817,-3.49496669945,-2.99409721997,0.731075225066
LOCNEC_22_P2.txt,8.08876388562,3.52558507235,8.29925250216,-0.0724690264312,2.46829361074,-0.16406470967,-1.38701047492,-0.667606955025,0.273174458092,-1.34702616505,0.262714498072,-1.71913134105
LOCNEC_18_P3.txt,15.8806251558,16.3061383628,-4.80814197306,-2.95051195984,-3.14771895675,7.11292354931,4.06147895724,0.585215846634,-5.32540378474,-5.34486009417,-2.3191556618,-0.0533804747764
